Date,Opponent,Total FG Attempted,Total FG Made,Total FG Percentage,3pt FG Attempted,3pt FG Made,3pt FG Percentage
2010-03-22 00:00:00,Phoenix Suns,15,6,40.00%,5,2,0.4
2010-12-02 00:00:00,Phoenix Suns,10,4,40.00%,3,1,0.3333333333333333
2011-02-07 00:00:00,Phoenix Suns,17,7,41.18%,6,,
2011-02-10 00:00:00,Phoenix Suns,9,5,55.56%,3,2,0.6666666666666666
2011-03-18 00:00:00,Phoenix Suns,13,6,46.15%,5,2,0.4
2012-01-02 00:00:00,Phoenix Suns,8,4,50.00%,3,2,0.6666666666666666
2012-02-13 00:00:00,Phoenix Suns,10,3,30.00%,4,1,0.25
2012-02-22 00:00:00,Phoenix Suns,7,3,42.86%,3,1,0.3333333333333333
2012-10-31 00:00:00,Phoenix Suns,14,2,14.29%,6,,
2013-02-02 00:00:00,Phoenix Suns,20,11,55.00%,10,6,0.6
2013-02-20 00:00:00,Phoenix Suns,15,8,53.33%,5,2,0.4
2013-04-05 00:00:00,Phoenix Suns,14,6,42.86%,7,3,0.42857142857142855
2013-12-15 00:00:00,Phoenix Suns,17,8,47.06%,7,4,0.5714285714285714
2013-12-27 00:00:00,Phoenix Suns,17,5,29.41%,6,1,0.16666666666666666
2014-02-08 00:00:00,Phoenix Suns,20,10,50.00%,10,3,0.3
2014-03-09 00:00:00,Phoenix Suns,16,7,43.75%,5,1,0.2
2014-11-09 00:00:00,Phoenix Suns,20,10,50.00%,10,4,0.4
2015-01-31 00:00:00,Phoenix Suns,22,9,40.91%,8,4,0.5
2015-03-09 00:00:00,Phoenix Suns,24,14,58.33%,13,7,0.5384615384615384
2015-04-02 00:00:00,Phoenix Suns,22,10,45.45%,11,6,0.5454545454545454
2015-11-27 00:00:00,Phoenix Suns,19,11,57.89%,15,9,0.6
2015-12-16 00:00:00,Phoenix Suns,14,10,71.43%,5,2,0.4
2016-02-10 00:00:00,Phoenix Suns,17,9,52.94%,10,5,0.5
2016-03-12 00:00:00,Phoenix Suns,24,12,50.00%,16,7,0.4375
2016-10-30 00:00:00,Phoenix Suns,17,9,52.94%,8,5,0.625
2016-11-13 00:00:00,Phoenix Suns,17,9,52.94%,9,5,0.5555555555555556
2016-12-03 00:00:00,Phoenix Suns,15,10,66.67%,7,5,0.7142857142857143
2017-04-05 00:00:00,Phoenix Suns,26,15,57.69%,13,8,0.6153846153846154
2018-02-12 00:00:00,Phoenix Suns,15,8,53.33%,7,3,0.42857142857142855
2009-11-20 00:00:00,Portland Trail Blazers,9,3,33.33%,3,2,0.6666666666666666
2010-01-02 00:00:00,Portland Trail Blazers,10,4,40.00%,2,1,0.5
2010-03-11 00:00:00,Portland Trail Blazers,15,6,40.00%,7,2,0.2857142857142857
2010-04-14 00:00:00,Portland Trail Blazers,25,13,52.00%,6,4,0.6666666666666666
2010-12-25 00:00:00,Portland Trail Blazers,15,2,13.33%,5,,
2011-04-05 00:00:00,Portland Trail Blazers,21,10,47.62%,5,3,0.6
2011-04-13 00:00:00,Portland Trail Blazers,10,7,70.00%,3,2,0.6666666666666666
2012-01-25 00:00:00,Portland Trail Blazers,19,12,63.16%,8,6,0.75
